id,s_no,tpa,entity_code,hospital_name,district,subentities,single_multi,pvt_govt,directrate,edc,edc_date,year,created_on,updated_on
13126,,MA,H_26332,"Gjs Multispeciality Hospital, Thiruvallur TN.", Thiruvallur,Private,Multi,PVT HOSPITAL,Pvt,92,2025-11-26,2025,2025-12-29 11:08:52,2025-12-29 11:08:52
11219,346,MA,H_18230,"A.S Imaging Centre Pvt Ltd, Ariyalur TN.",Ariyalur,PVT HOSPITAL,Multi,PVT HOSPITAL,PVT,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11220,347,MA,H_18437,"Ariyalur Golden Hospital Pvt.Ltd, Ariyalur TN.",Ariyalur,PVT HOSPITAL,Multi,PVT HOSPITAL,PVT,4,2017-04-12,2017,2025-12-05 10:57:37,2025-12-05 10:57:37
11207,334,MA,H_22534,"DEIC , Ariyalur TN.",Ariyalur,DEIC,DEIC,DEIC,Govt,,2018-02-05,2018,2025-12-05 10:57:37,2025-12-05 10:57:37
11206,333,MA,H_22519,"District Diff. abled welfare office,Ariyalur TN.",Ariyalur,DDWO,DDWO,DDWO,Govt,20,2018-07-03,2018,2025-12-05 10:57:37,2025-12-05 10:57:37
11212,339,MA,H_24572,"Govt Andimadam UPHC, Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,2021-08-19,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11211,338,MA,H_25860,"Govt Hospital, Sendurai, Ariyalur TN.",Ariyalur,GOVT-DMS,Multi,GOVT-DMS,Govt,69,2023-05-12,2023,2025-12-05 10:57:37,2025-12-05 10:57:37
11210,337,MA,H_25859,"Govt Hospital, Udayarpalayam, Ariyalur TN.",Ariyalur,GOVT-DMS,Multi,GOVT-DMS,Govt,69,2023-05-12,2023,2025-12-05 10:57:37,2025-12-05 10:57:37
11217,344,MA,H_25030,"Govt Kadugur UPHC, Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,55,2021-11-12,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
11214,341,MA,H_24580,"Govt Kumiliyam UPHC, Sendurai,  Ariyalur TN.",Ariyalur,UPHC,Multi,Govt-MTM,Govt,51,2021-08-19,2021,2025-12-05 10:57:37,2025-12-05 10:57:37
